brand,model,year,vehicle_age,mileage_km,fuel_type,seller_type,transmission,owner_type,price,price_currency
Audi,Audi Q5 2.0 TDI,2011,15,175900,Diesel,Dealer,Automatic,First Owner,1190000,INR
Audi,Audi Q5 2.0 TDI,2012,14,90000,Diesel,Individual,Automatic,Second Owner,1350000,INR
Audi,Audi Q5 2.0 TFSI Quattro,2010,16,110000,Petrol,Individual,Automatic,First Owner,1100000,INR
Audi,Audi Q5 2.0 TFSI Quattro Premium Plus,2014,12,62237,Petrol,Dealer,Automatic,First Owner,1850000,INR
Audi,Audi Q7 35 TDI Quattro Premium,2009,17,78000,Diesel,Dealer,Automatic,Third Owner,1250000,INR
BMW,BMW 3 Series 320d Luxury Line,2015,11,24000,Diesel,Individual,Automatic,First Owner,2200000,INR
BMW,BMW 3 Series 320d Luxury Line,2016,10,43000,Diesel,Dealer,Automatic,First Owner,2150000,INR
BMW,BMW 3 Series 320d Luxury Line,2018,8,39000,Diesel,Individual,Automatic,First Owner,2300000,INR
BMW,BMW 3 Series 320d Sport,2013,13,167223,Diesel,Dealer,Automatic,First Owner,2000000,INR
BMW,BMW 3 Series 320d Sport,2013,13,40000,Diesel,Dealer,Automatic,First Owner,1490000,INR
BMW,BMW 3 Series 320d Sport Line,2013,13,75800,Diesel,Dealer,Automatic,Second Owner,1550000,INR
BMW,BMW 5 Series 525d Sedan,2009,17,45000,Diesel,Individual,Automatic,Third Owner,1200000,INR
BMW,BMW 5 Series 530i,2006,20,110000,Petrol,Individual,Automatic,Second Owner,480000,INR
BMW,BMW 7 Series 730Ld,2006,20,30000,Diesel,Dealer,Automatic,First Owner,1050000,INR
BMW,BMW 7 Series 730Ld,2011,15,100000,Diesel,Individual,Automatic,Second Owner,1700000,INR
BMW,BMW 7 Series 730Ld,2012,14,48000,Diesel,Dealer,Automatic,First Owner,2500000,INR
BMW,BMW X1 sDrive 20d Exclusive,2011,15,60000,Diesel,Individual,Automatic,First Owner,1375000,INR
BMW,BMW X1 sDrive 20d xLine,2017,9,30000,Diesel,Individual,Automatic,First Owner,2400000,INR
BMW,BMW X1 sDrive 20d xLine,2019,7,9500,Diesel,Individual,Automatic,First Owner,2600000,INR
BMW,BMW X1 sDrive20d,2011,15,86000,Diesel,Individual,Automatic,Second Owner,890000,INR
BMW,BMW X1 sDrive20d,2012,14,120000,Diesel,Individual,Automatic,Second Owner,700000,INR
BMW,BMW X1 sDrive20d,2012,14,100000,Diesel,Individual,Automatic,Second Owner,750000,INR
BMW,BMW X1 sDrive20d M Sport,2014,12,48000,Diesel,Dealer,Automatic,First Owner,1485000,INR
Chevrolet,Chevrolet Aveo 1.4,2007,19,70000,Petrol,Individual,Manual,Second Owner,85000,INR
Chevrolet,Chevrolet Aveo 1.4 CNG,2011,15,100000,CNG,Individual,Manual,First Owner,229999,INR
Chevrolet,Chevrolet Aveo 1.4 LS,2008,18,81324,Petrol,Dealer,Manual,First Owner,170000,INR
Chevrolet,Chevrolet Aveo 1.4 LS,2010,16,74510,Petrol,Dealer,Manual,First Owner,200000,INR
Chevrolet,Chevrolet Aveo 1.4 LT BSIV,2009,17,48000,Petrol,Individual,Manual,First Owner,250000,INR
Chevrolet,Chevrolet Aveo 1.6 LT,2006,20,34600,Petrol,Individual,Manual,Third Owner,150000,INR
Chevrolet,Chevrolet Aveo 1.6 LT with ABS,2010,16,120000,Petrol,Individual,Manual,Second Owner,140000,INR
Chevrolet,Chevrolet Aveo U-VA 1.2,2007,19,110000,Petrol,Individual,Manual,Second Owner,80000,INR
Chevrolet,Chevrolet Aveo U-VA 1.2 LS,2008,18,80000,Petrol,Individual,Manual,First Owner,160000,INR
Chevrolet,Chevrolet Aveo U-VA 1.2 LS,2009,17,80000,Petrol,Individual,Manual,Second Owner,210000,INR
Chevrolet,Chevrolet Aveo U-VA 1.2 LS,2009,17,87293,Petrol,Dealer,Manual,First Owner,130000,INR
Chevrolet,Chevrolet Aveo U-VA 1.2 LS,2010,16,60000,Petrol,Individual,Manual,First Owner,140000,INR
Chevrolet,Chevrolet Aveo U-VA 1.2 LT,2008,18,70000,Petrol,Individual,Manual,Third Owner,114999,INR
Chevrolet,Chevrolet Aveo U-VA 1.2 LT WO ABS Airbag,2009,17,38500,Petrol,Individual,Manual,Second Owner,110000,INR
Chevrolet,Chevrolet Beat Diesel,2012,14,110000,Diesel,Individual,Manual,First Owner,160000,INR
Chevrolet,Chevrolet Beat Diesel,2012,14,90000,Diesel,Individual,Manual,Second Owner,160000,INR
Chevrolet,Chevrolet Beat Diesel,2013,13,60000,Diesel,Individual,Manual,Second Owner,165000,INR
Chevrolet,Chevrolet Beat Diesel LS,2011,15,50000,Diesel,Individual,Manual,First Owner,106000,INR
Chevrolet,Chevrolet Beat Diesel LS,2011,15,70000,Diesel,Individual,Manual,First Owner,95000,INR
Chevrolet,Chevrolet Beat Diesel LS,2012,14,100000,Diesel,Individual,Manual,Second Owner,220000,INR
Chevrolet,Chevrolet Beat Diesel LS,2012,14,50000,Diesel,Individual,Manual,First Owner,160000,INR
Chevrolet,Chevrolet Beat Diesel LS,2012,14,85000,Diesel,Individual,Manual,First Owner,200000,INR
Chevrolet,Chevrolet Beat Diesel LS,2012,14,110000,Diesel,Individual,Manual,First Owner,120000,INR
Chevrolet,Chevrolet Beat Diesel LS,2012,14,55130,Diesel,Dealer,Manual,First Owner,180000,INR
Chevrolet,Chevrolet Beat Diesel LS,2013,13,70000,Diesel,Individual,Manual,First Owner,190000,INR
Chevrolet,Chevrolet Beat Diesel LS,2013,13,47253,Diesel,Dealer,Manual,First Owner,195000,INR
Chevrolet,Chevrolet Beat Diesel LS,2013,13,93900,Diesel,Individual,Manual,Second Owner,130000,INR
Chevrolet,Chevrolet Beat Diesel LS,2014,12,60000,Diesel,Individual,Manual,First Owner,320000,INR
Chevrolet,Chevrolet Beat Diesel LS,2014,12,66000,Diesel,Individual,Manual,First Owner,305000,INR
Chevrolet,Chevrolet Beat Diesel LT,2011,15,80000,Diesel,Individual,Manual,Second Owner,130000,INR
Chevrolet,Chevrolet Beat Diesel LT,2011,15,56000,Diesel,Dealer,Manual,Second Owner,221000,INR
Chevrolet,Chevrolet Beat Diesel LT,2012,14,60000,Diesel,Individual,Manual,First Owner,150000,INR
Chevrolet,Chevrolet Beat Diesel LT,2012,14,110000,Diesel,Individual,Manual,First Owner,250000,INR
Chevrolet,Chevrolet Beat Diesel LT,2012,14,50000,Diesel,Individual,Manual,First Owner,200000,INR
Chevrolet,Chevrolet Beat Diesel LT,2012,14,70000,Diesel,Individual,Manual,Second Owner,200000,INR
Chevrolet,Chevrolet Beat Diesel LT,2012,14,40000,Diesel,Individual,Manual,First Owner,250000,INR
Chevrolet,Chevrolet Beat Diesel LT,2012,14,98900,Diesel,Individual,Manual,Third Owner,126000,INR
Chevrolet,Chevrolet Beat Diesel LT,2012,14,125000,Diesel,Individual,Manual,First Owner,120000,INR
Chevrolet,Chevrolet Beat Diesel LT,2013,13,80000,Diesel,Individual,Manual,Second Owner,210000,INR
Chevrolet,Chevrolet Beat Diesel LT,2013,13,46000,Diesel,Individual,Manual,First Owner,195000,INR
Chevrolet,Chevrolet Beat Diesel LT,2013,13,70000,Diesel,Individual,Manual,First Owner,173000,INR
Chevrolet,Chevrolet Beat Diesel LT,2013,13,20000,Diesel,Individual,Manual,Third Owner,215000,INR
Chevrolet,Chevrolet Beat Diesel LT,2016,10,35000,Diesel,Individual,Manual,Second Owner,350000,INR
Chevrolet,Chevrolet Beat Diesel LT Option,2009,17,57000,Diesel,Dealer,Manual,Second Owner,195000,INR
Chevrolet,Chevrolet Beat Diesel PS,2012,14,68000,Diesel,Dealer,Manual,First Owner,159000,INR
Chevrolet,Chevrolet Beat Diesel PS,2012,14,58000,Diesel,Dealer,Manual,First Owner,130000,INR
Chevrolet,Chevrolet Beat LS,2010,16,60000,Petrol,Individual,Manual,Second Owner,99000,INR
Chevrolet,Chevrolet Beat LS,2011,15,80000,Petrol,Individual,Manual,Second Owner,225000,INR
Chevrolet,Chevrolet Beat LS,2011,15,60000,Petrol,Individual,Manual,First Owner,160000,INR
Chevrolet,Chevrolet Beat LS,2011,15,60000,Petrol,Individual,Manual,Third Owner,150000,INR
Chevrolet,Chevrolet Beat LS,2012,14,50000,Petrol,Individual,Manual,First Owner,180000,INR
Chevrolet,Chevrolet Beat LS,2016,10,125000,Petrol,Individual,Manual,First Owner,170000,INR
Chevrolet,Chevrolet Beat LS,2016,10,70000,Petrol,Individual,Manual,Third Owner,250000,INR
Chevrolet,Chevrolet Beat LT,2010,16,80000,Petrol,Individual,Manual,Second Owner,130000,INR
Chevrolet,Chevrolet Beat LT,2010,16,80000,Petrol,Individual,Manual,Second Owner,135000,INR
Chevrolet,Chevrolet Beat LT,2010,16,70000,Petrol,Individual,Manual,Second Owner,114999,INR
Chevrolet,Chevrolet Beat LT,2011,15,90000,Petrol,Individual,Manual,Second Owner,120000,INR
Chevrolet,Chevrolet Beat LT,2012,14,90000,Petrol,Individual,Manual,Second Owner,200999,INR
Chevrolet,Chevrolet Beat LT,2012,14,12000,Petrol,Individual,Manual,First Owner,155000,INR
Chevrolet,Chevrolet Beat LT,2013,13,50000,Petrol,Individual,Manual,First Owner,165000,INR
Chevrolet,Chevrolet Beat LT,2013,13,50000,Petrol,Individual,Manual,First Owner,200000,INR
Chevrolet,Chevrolet Beat LT,2015,11,43000,Petrol,Dealer,Manual,First Owner,245000,INR
Chevrolet,Chevrolet Beat LT,2016,10,40000,Petrol,Individual,Manual,First Owner,320000,INR
Chevrolet,Chevrolet Beat LT,2016,10,52000,Petrol,Dealer,Manual,First Owner,245000,INR
Chevrolet,Chevrolet Beat LT LPG,2011,15,110000,LPG,Individual,Manual,First Owner,200000,INR
Chevrolet,Chevrolet Beat LT Option,2015,11,60000,Petrol,Individual,Manual,First Owner,240000,INR
Chevrolet,Chevrolet Beat LT Option,2016,10,41000,Petrol,Dealer,Manual,First Owner,239000,INR
Chevrolet,Chevrolet Beat PS,2014,12,77000,Petrol,Individual,Manual,First Owner,170000,INR
Chevrolet,Chevrolet Beat PS,2015,11,50000,Petrol,Individual,Manual,First Owner,200000,INR
Chevrolet,Chevrolet Beat PS,2016,10,25000,Petrol,Individual,Manual,First Owner,300000,INR
Chevrolet,Chevrolet Captiva 2.0L VCDi,2011,15,76000,Diesel,Individual,Manual,Third Owner,400000,INR
Chevrolet,Chevrolet Captiva LT,2008,18,100000,Diesel,Individual,Manual,Fourth & Above Owner,250000,INR
Chevrolet,Chevrolet Captiva LT,2009,17,130000,Diesel,Individual,Manual,First Owner,500000,INR
Chevrolet,Chevrolet Cruze LT,2011,15,74000,Diesel,Individual,Manual,Second Owner,350000,INR
Chevrolet,Chevrolet Cruze LT,2012,14,44500,Diesel,Dealer,Manual,Second Owner,349000,INR
Chevrolet,Chevrolet Cruze LT,2012,14,90000,Diesel,Individual,Manual,Fourth & Above Owner,380000,INR
Chevrolet,Chevrolet Cruze LTZ,2010,16,81925,Diesel,Individual,Manual,First Owner,240000,INR
Chevrolet,Chevrolet Cruze LTZ,2010,16,124000,Diesel,Individual,Manual,Second Owner,330000,INR
Chevrolet,Chevrolet Cruze LTZ,2010,16,60000,Diesel,Individual,Manual,Third Owner,320000,INR
Chevrolet,Chevrolet Cruze LTZ,2011,15,65500,Diesel,Individual,Manual,First Owner,345000,INR
Chevrolet,Chevrolet Cruze LTZ,2011,15,90000,Diesel,Individual,Manual,Second Owner,335000,INR
Chevrolet,Chevrolet Cruze LTZ,2012,14,40000,Diesel,Individual,Manual,First Owner,400000,INR
Chevrolet,Chevrolet Cruze LTZ,2014,12,52000,Diesel,Dealer,Manual,First Owner,550000,INR
Chevrolet,Chevrolet Cruze LTZ,2015,11,3600,Diesel,Dealer,Manual,First Owner,1000000,INR
Chevrolet,Chevrolet Cruze LTZ AT,2012,14,120000,Diesel,Individual,Automatic,Third Owner,359000,INR
Chevrolet,Chevrolet Cruze LTZ AT,2012,14,42000,Diesel,Dealer,Automatic,First Owner,490000,INR
Chevrolet,Chevrolet Cruze LTZ AT,2015,11,50000,Diesel,Individual,Automatic,First Owner,650000,INR
Chevrolet,Chevrolet Cruze LTZ AT,2017,9,73000,Diesel,Dealer,Automatic,First Owner,950000,INR
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2013,13,20000,Diesel,Dealer,Manual,First Owner,425000,INR
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2015,11,175000,Diesel,Individual,Manual,First Owner,300000,INR
Chevrolet,Chevrolet Enjoy TCDi LS 8 Seater,2014,12,200000,Diesel,Individual,Manual,Third Owner,330000,INR
Chevrolet,Chevrolet Enjoy TCDi LT 7 Seater,2014,12,71014,Diesel,Dealer,Manual,First Owner,325000,INR
Chevrolet,Chevrolet Enjoy TCDi LT 7 Seater,2014,12,146000,Diesel,Individual,Manual,First Owner,300000,INR
Chevrolet,Chevrolet Enjoy TCDi LT 8 Seater,2014,12,110000,Diesel,Individual,Manual,First Owner,350000,INR
Chevrolet,Chevrolet Enjoy TCDi LT 8 Seater,2015,11,50000,Diesel,Individual,Manual,First Owner,500000,INR
Chevrolet,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,13,33000,Diesel,Individual,Manual,Second Owner,390000,INR
Chevrolet,Chevrolet Optra 1.6,2006,20,79000,Petrol,Dealer,Manual,Fourth & Above Owner,120000,INR
Chevrolet,Chevrolet Optra 1.6 LS,2005,21,126000,Petrol,Individual,Manual,Second Owner,60000,INR
Chevrolet,Chevrolet Optra Magnum 2.0 LS,2009,17,66000,Diesel,Individual,Manual,First Owner,150000,INR
Chevrolet,Chevrolet Optra Magnum 2.0 LS,2011,15,120000,Diesel,Individual,Manual,First Owner,195000,INR
Chevrolet,Chevrolet Optra Magnum 2.0 LS BSIII,2012,14,120000,Diesel,Individual,Manual,First Owner,180000,INR
Chevrolet,Chevrolet Optra Magnum 2.0 LT,2011,15,150000,Diesel,Individual,Manual,Second Owner,170000,INR
Chevrolet,Chevrolet Optra Magnum 2.0 LT,2012,14,25000,Diesel,Individual,Manual,First Owner,300000,INR
Chevrolet,Chevrolet Sail 1.2 Base,2014,12,25000,Petrol,Individual,Manual,First Owner,290000,INR
Chevrolet,Chevrolet Sail 1.2 Base,2014,12,100000,Petrol,Individual,Manual,Second Owner,170000,INR
Chevrolet,Chevrolet Sail 1.2 Base,2015,11,35000,Petrol,Individual,Manual,First Owner,260000,INR
Chevrolet,Chevrolet Sail 1.2 LT ABS,2014,12,30000,Petrol,Individual,Manual,First Owner,350000,INR
Chevrolet,Chevrolet Sail 1.3 LS,2013,13,56000,Diesel,Dealer,Manual,First Owner,290000,INR
Chevrolet,Chevrolet Sail Hatchback 1.2 LS,2015,11,22255,Petrol,Individual,Manual,First Owner,280000,INR
Chevrolet,Chevrolet Sail Hatchback 1.2 LS,2016,10,30000,Petrol,Individual,Manual,First Owner,250000,INR
Chevrolet,Chevrolet Sail Hatchback 1.3 TCDi,2015,11,40000,Diesel,Individual,Manual,First Owner,281000,INR
Chevrolet,Chevrolet Sail Hatchback 1.3 TCDi LT ABS,2014,12,120000,Diesel,Individual,Manual,First Owner,250000,INR
Chevrolet,Chevrolet Sail Hatchback LS ABS,2013,13,120000,Diesel,Individual,Manual,Second Owner,200000,INR
Chevrolet,Chevrolet Sail Hatchback LT ABS,2013,13,80000,Diesel,Individual,Manual,First Owner,225000,INR
Chevrolet,Chevrolet Sail LS ABS,2014,12,40000,Diesel,Individual,Manual,First Owner,375000,INR
Chevrolet,Chevrolet Spark 1.0,2008,18,100000,Petrol,Individual,Manual,Third Owner,120000,INR
Chevrolet,Chevrolet Spark 1.0,2009,17,70000,Petrol,Individual,Manual,First Owner,125000,INR
Chevrolet,Chevrolet Spark 1.0,2010,16,80000,Petrol,Individual,Manual,Second Owner,78692,INR
Chevrolet,Chevrolet Spark 1.0,2010,16,70000,Petrol,Individual,Manual,First Owner,80000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2008,18,35000,Petrol,Individual,Manual,Second Owner,75000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2009,17,44800,Petrol,Individual,Manual,Second Owner,170000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2009,17,90000,Petrol,Individual,Manual,First Owner,135000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2009,17,60000,Petrol,Individual,Manual,Third Owner,70000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2010,16,45000,Petrol,Individual,Manual,Second Owner,175000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2011,15,100000,Petrol,Individual,Manual,Third Owner,99000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2011,15,60000,Petrol,Individual,Manual,Third Owner,125000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2011,15,60000,Petrol,Individual,Manual,Second Owner,140000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2012,14,80000,Petrol,Individual,Manual,First Owner,130000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2012,14,90000,Petrol,Individual,Manual,Second Owner,134000,INR
Chevrolet,Chevrolet Spark 1.0 LS,2014,12,70000,Petrol,Individual,Manual,First Owner,220000,INR
Chevrolet,Chevrolet Spark 1.0 LT,2009,17,60000,Petrol,Individual,Manual,First Owner,70000,INR
Chevrolet,Chevrolet Spark 1.0 LT,2010,16,15000,Petrol,Individual,Manual,First Owner,180000,INR
Chevrolet,Chevrolet Spark 1.0 LT,2011,15,60000,Petrol,Individual,Manual,First Owner,165000,INR
Chevrolet,Chevrolet Spark 1.0 LT,2011,15,68519,Petrol,Dealer,Manual,First Owner,130000,INR
Chevrolet,Chevrolet Spark 1.0 LT,2012,14,28000,Petrol,Individual,Manual,First Owner,125000,INR
Chevrolet,Chevrolet Spark 1.0 LT,2013,13,10000,Petrol,Individual,Manual,First Owner,240000,INR
Chevrolet,Chevrolet Spark 1.0 LT BS3,2013,13,60000,Petrol,Individual,Manual,Second Owner,150000,INR
Chevrolet,Chevrolet Spark 1.0 LT Option Pack w/ Airbag,2013,13,53000,Petrol,Dealer,Manual,First Owner,165000,INR
Chevrolet,Chevrolet Spark 1.0 PS,2010,16,73000,Petrol,Individual,Manual,First Owner,110000,INR
Chevrolet,Chevrolet Tavera LS B3 7 Seats BSII,2005,21,150000,Diesel,Individual,Manual,First Owner,150000,INR
Chevrolet,Chevrolet Tavera LT L1 7 Seats BSIII,2006,20,200000,Diesel,Individual,Manual,Third Owner,140000,INR
Chevrolet,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,14,120000,Diesel,Individual,Manual,Third Owner,400000,INR
Chevrolet,Chevrolet Tavera Neo 2 LT L 9 Str,2012,14,110000,Diesel,Individual,Manual,First Owner,400000,INR
Chevrolet,Chevrolet Tavera Neo 3 10 Seats BSIV,2007,19,120000,Diesel,Individual,Manual,Third Owner,160000,INR
Chevrolet,Chevrolet Tavera Neo 3 10 Seats BSIV,2010,16,120000,Diesel,Individual,Manual,Third Owner,300000,INR
Chevrolet,Chevrolet Tavera Neo 3 9 Str BSIII,2016,10,120000,Diesel,Individual,Manual,First Owner,500000,INR
Chevrolet,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,11,120000,Diesel,Individual,Manual,First Owner,400000,INR
Chevrolet,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2016,10,100000,Diesel,Individual,Manual,Second Owner,470000,INR
Chevrolet,Chevrolet Tavera Neo 3 Max 9 Str BSIII,2014,12,120000,Diesel,Individual,Manual,Second Owner,400000,INR
Daewoo,Daewoo Matiz SD,2002,24,50000,Petrol,Individual,Manual,First Owner,60000,INR
Datsun,Datsun GO A,2015,11,40000,Petrol,Individual,Manual,Second Owner,250000,INR
Datsun,Datsun GO Plus A,2015,11,45000,Petrol,Individual,Manual,Second Owner,315000,INR
Datsun,Datsun GO Plus A Option Petrol,2018,8,10000,Petrol,Individual,Manual,Second Owner,450000,INR
Datsun,Datsun GO Plus Remix Limited Edition,2016,10,35000,Petrol,Individual,Manual,First Owner,300000,INR
Datsun,Datsun GO Plus T,2017,9,10171,Petrol,Dealer,Manual,First Owner,350000,INR
Datsun,Datsun GO Plus T BSIV,2015,11,25000,Petrol,Individual,Manual,First Owner,380000,INR
Datsun,Datsun GO Plus T BSIV,2018,8,4400,Petrol,Individual,Manual,Second Owner,400000,INR
Datsun,Datsun GO Plus T Option,2017,9,80000,Petrol,Individual,Manual,First Owner,350000,INR
Datsun,Datsun GO Plus T Option BSIV,2015,11,21000,Petrol,Individual,Manual,First Owner,295000,INR
Datsun,Datsun GO Plus T Option BSIV,2017,9,20000,Petrol,Individual,Manual,Second Owner,375000,INR
Datsun,Datsun GO Plus T Option BSIV,2018,8,19000,Petrol,Individual,Manual,Second Owner,270000,INR
Datsun,Datsun GO Plus T Option Petrol,2018,8,10000,Petrol,Individual,Manual,First Owner,434999,INR
Datsun,Datsun GO T BSIV,2014,12,40000,Petrol,Individual,Manual,First Owner,280000,INR
Datsun,Datsun GO T BSIV,2014,12,58000,Petrol,Individual,Manual,First Owner,250000,INR
Datsun,Datsun GO T Option BSIV,2015,11,25000,Petrol,Individual,Manual,First Owner,210000,INR
Datsun,Datsun GO T Petrol,2015,11,32686,Petrol,Dealer,Manual,First Owner,310000,INR
Datsun,Datsun GO T Petrol,2015,11,92198,Petrol,Dealer,Manual,Second Owner,225000,INR
Datsun,Datsun RediGO 1.0 S,2017,9,15000,Petrol,Dealer,Manual,Second Owner,210000,INR
Datsun,Datsun RediGO 1.0 S,2017,9,15000,Petrol,Individual,Manual,First Owner,250000,INR
Datsun,Datsun RediGO 1.0 T Option,2018,8,2769,Petrol,Dealer,Manual,First Owner,375000,INR
Datsun,Datsun RediGO AMT 1.0 S,2018,8,25000,Petrol,Individual,Automatic,First Owner,300000,INR
Datsun,Datsun RediGO S,2016,10,22000,Petrol,Individual,Manual,First Owner,270000,INR
Datsun,Datsun RediGO SV 1.0,2019,7,1300,Petrol,Individual,Manual,First Owner,350000,INR
Datsun,Datsun RediGO T Option,2016,10,37500,Petrol,Individual,Manual,Second Owner,229999,INR
Datsun,Datsun RediGO T Option,2017,9,46000,Petrol,Individual,Manual,First Owner,250000,INR
Datsun,Datsun RediGO T Option,2017,9,50000,Petrol,Individual,Manual,First Owner,210000,INR
Datsun,Datsun RediGO T Option,2017,9,40000,Petrol,Individual,Manual,First Owner,220000,INR
Datsun,Datsun RediGO T Option,2017,9,30000,Petrol,Individual,Manual,First Owner,200000,INR
Datsun,Datsun redi-GO AMT 1.0 T Option,2018,8,15000,Petrol,Dealer,Automatic,First Owner,290000,INR
Fiat,Fiat 500 Lounge,2008,18,110000,Diesel,Individual,Manual,First Owner,250999,INR
Fiat,Fiat Avventura MULTIJET Emotion,2015,11,53000,Diesel,Individual,Manual,Second Owner,350000,INR
Fiat,Fiat Avventura Urban Cross 1.3 Multijet Emotion,2018,8,38083,Diesel,Dealer,Manual,First Owner,650000,INR
Fiat,Fiat Grande Punto 1.3 Dynamic (Diesel),2010,16,63000,Diesel,Individual,Manual,Third Owner,150000,INR
Fiat,Fiat Grande Punto 1.3 Dynamic (Diesel),2012,14,100000,Diesel,Individual,Manual,Second Owner,185000,INR
Fiat,Fiat Grande Punto Active (Diesel),2009,17,95000,Diesel,Individual,Manual,Second Owner,125000,INR
Fiat,Fiat Grande Punto EVO 1.3 Active,2014,12,50000,Diesel,Individual,Manual,First Owner,260000,INR
Fiat,Fiat Grande Punto EVO 1.3 Active,2014,12,120000,Diesel,Individual,Manual,Second Owner,270000,INR
Fiat,Fiat Grande Punto EVO 1.3 Dynamic,2014,12,70000,Diesel,Individual,Manual,First Owner,325000,INR
Fiat,Fiat Grande Punto EVO 90HP 1.3 Sport,2014,12,90000,Diesel,Individual,Manual,First Owner,250000,INR
Fiat,Fiat Grande Punto Emotion 90Hp,2013,13,80000,Diesel,Individual,Manual,First Owner,250000,INR
Fiat,Fiat Linea 1.3 Emotion,2010,16,65000,Diesel,Dealer,Manual,First Owner,221000,INR
Fiat,Fiat Linea 1.3 Emotion,2014,12,131365,Diesel,Individual,Manual,First Owner,221000,INR
Fiat,Fiat Linea 1.3 Multijet Emotion,2015,11,113600,Diesel,Individual,Manual,First Owner,550000,INR
Fiat,Fiat Linea Active (Diesel),2011,15,80000,Diesel,Individual,Manual,Third Owner,190000,INR
Fiat,Fiat Linea Classic 1.3 Multijet,2015,11,130000,Diesel,Individual,Manual,First Owner,350000,INR
Fiat,Fiat Linea Dynamic,2013,13,70000,Petrol,Individual,Manual,First Owner,350000,INR
Fiat,Fiat Linea Emotion,2010,16,100000,Petrol,Individual,Manual,First Owner,170000,INR
Fiat,Fiat Linea Emotion (Diesel),2011,15,60000,Diesel,Individual,Manual,First Owner,225000,INR
Fiat,Fiat Linea T Jet Emotion,2010,16,90000,Petrol,Individual,Manual,Second Owner,215000,INR
Fiat,Fiat Linea T Jet Emotion,2018,8,1136,Petrol,Dealer,Manual,First Owner,890000,INR
Fiat,Fiat Linea T Jet Plus,2011,15,20000,Petrol,Individual,Manual,First Owner,500000,INR
Fiat,Fiat Palio 1.2 Sport,2007,19,50000,Petrol,Individual,Manual,Second Owner,125000,INR
Fiat,Fiat Palio D 1.9 EL PS,2003,23,35000,Diesel,Individual,Manual,Second Owner,55000,INR
Fiat,Fiat Punto 1.2 Active,2010,16,50000,Petrol,Individual,Manual,Second Owner,80000,INR
